price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type
6000,,,,,,,,,,,
11900,,,,,,,,,,,
21000,,,,,,,,,,,
1500,,,,,,,,,,,
4900,,,,,,,,,,,
1600,,,,,,,,,,,
1000,,,,,,,,,,,
15995,,,,,,,,,,,
5000,,,,,,,,,,,
3000,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
13995,,,,,,,,,,,
24999,,,,,,,,,,,
21850,,,,,,,,,,,
26850,,,,,,,,,,,
11999,,,,,,,,,,,
24999,,,,,,,,,,,
21850,,,,,,,,,,,
26850,,,,,,,,,,,
11999,,,,,,,,,,,
24999,,,,,,,,,,,
21850,,,,,,,,,,,
500,,,,,,,,,,,
33590,2014,gmc,sierra 1500 crew cab slt,good,8 cylinders,gas,57923,clean,other,,pickup
22590,2010,chevrolet,silverado 1500,good,8 cylinders,gas,71229,clean,other,,pickup
39590,2020,chevrolet,silverado 1500 crew,good,8 cylinders,gas,19160,clean,other,,pickup
30990,2017,toyota,tundra double cab sr,good,8 cylinders,gas,41124,clean,other,,pickup
15000,2013,ford,f-150 xlt,excellent,6 cylinders,gas,128000,clean,automatic,rwd,truck
27990,2012,gmc,sierra 2500 hd extended cab,good,8 cylinders,gas,68696,clean,other,4wd,pickup
34590,2016,chevrolet,silverado 1500 double,good,6 cylinders,gas,29499,clean,other,4wd,pickup
35000,2019,toyota,tacoma,excellent,6 cylinders,gas,43000,clean,automatic,4wd,truck
29990,2016,chevrolet,colorado extended cab,good,6 cylinders,gas,17302,clean,other,4wd,pickup
38590,2011,chevrolet,corvette grand sport,good,8 cylinders,gas,30237,clean,other,rwd,other
4500,1992,jeep,cherokee,excellent,6 cylinders,gas,192000,clean,automatic,4wd,
32990,2017,jeep,wrangler unlimited sport,good,6 cylinders,gas,30041,clean,other,4wd,other
24590,2017,chevrolet,silverado 1500 regular,good,6 cylinders,gas,40784,clean,other,,pickup
30990,2016,chevrolet,colorado crew cab z71,good,,other,34940,clean,other,4wd,pickup
27990,2014,toyota,tacoma access cab pickup,good,,other,17805,clean,other,,pickup
37990,2016,chevrolet,camaro ss coupe 2d,good,8 cylinders,gas,9704,clean,other,rwd,coupe
33590,2014,toyota,tundra crewmax sr5 pickup,good,,other,55251,clean,other,,pickup
30990,2019,ford,ranger supercrew xl pickup,good,,other,1834,clean,other,,pickup
27990,2018,nissan,frontier crew cab pro-4x,good,6 cylinders,gas,37332,clean,other,4wd,pickup
0,2011,jeep,compass,excellent,,gas,99615,clean,automatic,,SUV
