price,year,manufacturer,model,fuel,odometer,transmission
6000,,,,,,
11900,,,,,,
21000,,,,,,
1500,,,,,,
4900,,,,,,
1600,,,,,,
1000,,,,,,
15995,,,,,,
5000,,,,,,
3000,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
13995,,,,,,
24999,,,,,,
21850,,,,,,
26850,,,,,,
11999,,,,,,
24999,,,,,,
21850,,,,,,
26850,,,,,,
11999,,,,,,
24999,,,,,,
21850,,,,,,
500,,,,,,
33590,2014,gmc,sierra 1500 crew cab slt,gas,57923,other
22590,2010,chevrolet,silverado 1500,gas,71229,other
39590,2020,chevrolet,silverado 1500 crew,gas,19160,other
30990,2017,toyota,tundra double cab sr,gas,41124,other
15000,2013,ford,f-150 xlt,gas,128000,automatic
27990,2012,gmc,sierra 2500 hd extended cab,gas,68696,other
34590,2016,chevrolet,silverado 1500 double,gas,29499,other
35000,2019,toyota,tacoma,gas,43000,automatic
29990,2016,chevrolet,colorado extended cab,gas,17302,other
38590,2011,chevrolet,corvette grand sport,gas,30237,other
4500,1992,jeep,cherokee,gas,192000,automatic
32990,2017,jeep,wrangler unlimited sport,gas,30041,other
24590,2017,chevrolet,silverado 1500 regular,gas,40784,other
30990,2016,chevrolet,colorado crew cab z71,other,34940,other
27990,2014,toyota,tacoma access cab pickup,other,17805,other
37990,2016,chevrolet,camaro ss coupe 2d,gas,9704,other
33590,2014,toyota,tundra crewmax sr5 pickup,other,55251,other
30990,2019,ford,ranger supercrew xl pickup,other,1834,other
27990,2018,nissan,frontier crew cab pro-4x,gas,37332,other
0,2011,jeep,compass,gas,99615,automatic
34590,2018,ford,f150 super cab xl pickup 4d,gas,20856,other
30590,2016,toyota,tacoma double cab sr5,other,30176,other
32990,2020,jeep,wrangler sport suv 2d,gas,20581,other
38990,2020,ford,f150 supercrew cab xlt,gas,12231,other
22590,2017,ram,1500 regular cab tradesman,gas,39508,other
31590,2020,mazda,mx-5 miata club,gas,2195,other
27990,2020,ford,ranger supercab xl pickup,gas,10688,other
31590,2019,cadillac,xt4 sport suv 4d,other,12102,other
19900,2004,ford,f250 super duty,diesel,88000,automatic
16590,2016,jeep,renegade sport suv 4d,gas,35835,other
26990,2016,ford,f150 regular cab xl pickup,gas,14230,other
25590,2015,gmc,sierra 1500 regular cab,other,35290,other
14000,2012,honda,odyssey,gas,95000,automatic
28590,2018,ram,1500 quad cab express pickup,other,30047,other
24590,2013,gmc,sierra 1500 extended cab slt,other,80318,other
25990,2019,ram,1500 classic regular cab,gas,12302,other
34990,2018,ford,mustang gt premium,gas,18650,other
27990,2017,chevrolet,colorado extended cab,gas,22120,other
